lat,lon,timestamp,alt,Sector,x,y,rank,flightKey
41.20108970335446,1.9510252280522682,1564760325.2354126,36000.0,LECBG23,1072235.9445339483,748169.0515791364,887998.6271359335,6126372
41.20108970335446,1.9510252280522682,1564760865.2354126,36000.0,LECBG23,1072235.9445339483,748169.0515791364,746405.7172408819,6127213
41.31250889460711,1.9324196395692441,1564760709.6682196,38000.0,LECBG23,1069900.916541044,760408.3704392494,721861.9918623575,6127256
42.77472630539602,0.9980013256721637,1564760519.6329582,38000.0,LECBG23,983326.4508993718,917996.4244479879,517315.63211791345,6127284
42.58814559999994,1.4389571714285736,1564760670.0,36000.0,LECBG23,1020551.5037362971,899291.306115208,inf,6127324.0
41.31250889460711,1.9324196395692441,1564760709.6682196,36000.0,LECBG23,1069900.916541044,760408.3704392494,467507.6440526487,6127330
39.0050763845272,-1.2953224622463173,1564760955.4965441,33000.0,LECBLVU,807016.6144248372,492443.90085027553,566518.0304797089,6127344
41.31250889460711,1.9324196395692441,1564760924.5023293,38000.0,LECBG23,1069900.916541044,760408.3704392494,467507.6440526487,6127352
39.75082484761182,-1.0851798540962494,1564760335.0931246,37000.0,LECBLVU,822779.3372937497,575619.3410256994,425409.5990497454,6127353
42.6644302,1.2816248,1564760670.0,38000.0,LECBG23,1007187.2098737406,907020.210640259,inf,6127376.0
41.31250889460711,1.9324196395692441,1564761069.6682196,36000.0,LECBG23,1069900.916541044,760408.3704392494,467507.6440526487,6127380
42.695790200000005,1.3169903999999997,1564760820.0,38000.0,LECBG23,1009886.4126618201,910660.219612745,inf,6127390.0
39.0050763845272,-1.2953224622463173,1564760835.4965441,35000.0,LECBLVU,807016.6144248372,492443.90085027553,373085.2070496544,6127398
41.31250889460711,1.9324196395692441,1564761909.6682196,36000.0,LECBG23,1069900.916541044,760408.3704392494,685780.9161922779,6127404
41.677566109705154,0.6148744187484224,1564760481.3914676,37000.0,LECBG23,957888.9527251951,794738.7803261111,343474.1697622248,6127423
39.335528265372034,0.5148606975292415,1564761630.5208397,38000.0,LECBLVU,961820.9867801077,534843.1256273676,590079.4029090045,6127424
42.77472630539602,0.9980013256721637,1564761599.6329582,38000.0,LECBG23,983326.4508993718,917996.4244479879,517315.63211791345,6127426
39.75082484761182,-1.0851798540962494,1564761235.0931246,33163.56251102536,LECBLVU,822779.3372937497,575619.3410256994,480844.53191966366,6127430
41.09982508841842,0.40503288119529574,1564760608.0258756,37000.0,LECBG23,943390.494913668,729877.0669824348,306119.6596967406,6127453
41.09982508841842,0.40503288119529574,1564760668.0258756,35000.0,LECBG23,943390.494913668,729877.0669824348,310031.0076490107,6127461
42.617774200000014,1.3341904000000002,1564761780.0,36000.0,LECBG23,1011781.5226438894,902087.6308831971,inf,6127464.0
41.31250889460711,1.9324196395692441,1564761764.5023293,36000.0,LECBG23,1069900.916541044,760408.3704392494,470851.54077174165,6127470
42.4007694,1.5184213999999996,1564761480.0,36000.0,LECBG23,1028277.2385213898,878895.228989062,inf,6127479.0
42.77472630539602,0.9980013256721637,1564762319.7553055,36000.0,LECBG23,983326.4508993718,917996.4244479879,517315.63211791345,6127511
42.42640880000001,1.4466592,1564761780.0,38000.0,LECBG23,1022216.7087681163,881395.2918111726,inf,6127518.0
41.18719520000001,1.948275,1564761240.0,35180.0,LECBG23,1072103.344782628,746615.9821423821,inf,6127519.0
41.31250889460711,1.9324196395692441,1564762244.5023293,36000.0,LECBG23,1069900.916541044,760408.3704392494,467507.6440526487,6127527
39.0050763845272,-1.2953224622463173,1564761915.4965441,37000.0,LECBLVU,807016.6144248372,492443.90085027553,373183.959296916,6127537
40.70379175962151,0.5010406612028645,1564761919.2264614,38000.0,LECBLVU,953503.345241062,686366.500086903,284671.45521849376,6127581
40.694305,0.360073,1564761570.0,34800.0,LECBLVU,941663.3349200839,684765.6203863488,inf,6127594.0
40.47965187791423,0.9034683593523253,1564762137.4992976,37000.0,LECBG23,988715.0933212924,663210.6287790246,314235.56322269887,6127613
41.20108970335446,1.9510252280522682,1564761885.2354126,36000.0,LECBG23,1072235.9445339483,748169.0515791364,887998.6271359335,6126570
