Scenario,Total conflicts,Different pairs of flights in conflict,Total losses,Different pairs of flights in loss,Losses without loss/conflict before,Alerts,Total number of flights,Total time
A3_1675139981_LECBVNI_AAF765,13,6,0,0,0,4,54,2040
A3_1675111391_LECBBAS_IBK5408,1,1,1,1,0,1,36,1560
A2_1675116452_LECBGO3_EXS8LB,10,3,0,0,0,2,35,1230
A1_1675133225_LECBBAS_EJU32FR,1,1,0,0,0,1,31,1530
A1_1675132177_LECBLVU_UAE142,2,1,0,0,0,1,19,690
A1_1675141011_LECBVNI_RYR4JZ,12,5,0,0,0,3,48,1800
A3_1675140906_LECBVNI_VLG7991,7,5,0,0,0,3,55,1920
A1_1675140861_LECBVNI_VLG7991,7,5,0,0,0,3,55,1920
A1_1675142090_LECBBAS_RYR92NY,4,4,0,0,0,3,33,1710
A1_1675141704_LECBBAS_RYR92NY,4,4,0,0,0,3,33,1710
A1_1675139471_LECBVNI_NAX35AP,10,3,0,0,0,2,38,1800
A2_1675116150_LECBGO3_RYR16QN,8,2,0,0,0,2,39,1410
A2_1657917184_LECBP2R_IBE31KF,5,1,0,0,0,2,24,900
A3_1657916870_LECBP2R_IBE31RG,5,1,0,0,0,2,28,1140
A2_1657917178_LECBP2R_IBE32SY,5,1,0,0,0,2,22,900
A1_1675139952_LECBP2R_EXS7JF,4,3,0,0,0,2,28,1350
A1_1675139816_LECBP2R_EXS7JF,4,3,0,0,0,2,28,1350
A2_1675115626_LECBGO3_EXS64G,4,2,0,0,0,2,29,1380
A1_1675138996_LECBLVU_VLG9EK,3,2,0,0,0,2,28,1890
A3_1675138220_LECBLVU_VOE2620,3,2,0,0,0,2,36,2250
A1_1675139756_LECBVNI_CFG5CK,3,2,0,0,0,2,32,1590
A1_1675139615_LECBVNI_CFG5CK,3,2,0,0,0,2,32,1590
A2_1675115554_LECBGO3_RYR9WD,2,1,0,0,0,2,26,1410
A1_1675115959_LECBLVU_RYR46VZ,2,2,0,0,0,2,29,2010
A1_1675142154_LECBBAS_WWI70,2,2,0,0,0,2,54,2070
